clienti_ID,prodotto_ID,quantita,data
4659,12,62,2025-02-20
3969,17,16,2025-09-23
1567,5,92,2025-09-12
3984,16,68,2025-02-05
1528,16,73,2025-02-21
237,15,9,2025-10-05
3896,12,53,2025-07-08
4304,9,61,2025-05-20
3949,15,33,2025-11-08
4230,5,48,2025-07-11
3542,17,91,2025-06-19
360,6,97,2025-05-05
3855,11,86,2025-09-10
1489,12,37,2025-07-28
1041,6,93,2025-02-23
3082,7,58,2025-03-25
3869,7,74,2025-05-28
2824,18,12,2025-03-03
4717,4,32,2025-12-20
4886,4,1,2025-01-30
3774,2,83,2025-09-29
2139,8,63,2025-11-17
4340,10,63,2025-06-09
3130,17,29,2025-10-01
3424,19,75,2025-10-18
1893,19,66,2025-02-10
1456,1,13,2025-05-31
2705,6,59,2025-11-13
3767,4,81,2025-03-27
3641,10,49,2025-07-31
578,17,85,2025-03-16
1806,4,41,2025-03-18
3606,7,47,2025-09-27
3795,1,6,2025-03-29
4078,14,89,2025-01-06
2688,8,55,2025-06-07
2506,17,12,2025-02-02
1662,13,7,2025-08-18
3822,19,26,2025-01-19
3900,4,47,2025-10-07
2568,11,5,2025-05-31
3668,14,74,2025-12-23
4650,9,91,2025-09-16
2376,1,8,2025-09-21
3130,12,62,2025-12-29
2381,3,79,2025-02-04
2624,2,38,2025-11-08
685,7,61,2025-12-30
2097,18,61,2025-12-08
2093,11,36,2025-06-20
3175,2,7,2025-09-23
3957,5,37,2025-05-31
3131,1,20,2025-07-26
2489,11,75,2025-04-08
287,8,2,2025-11-03
2225,3,31,2025-03-07
2949,10,67,2025-08-06
2924,6,63,2025-12-24
183,8,26,2025-12-03
4761,13,81,2025-10-14
4074,14,52,2025-12-30
2076,17,18,2025-02-02
630,15,46,2025-11-30
1822,8,60,2025-09-23
4340,11,67,2025-01-24
2639,7,57,2025-07-16
3924,10,24,2025-01-15
996,15,69,2025-07-06
675,5,84,2025-04-01
4400,3,61,2025-03-18
4561,9,9,2025-11-16
2776,11,6,2025-08-11
4974,14,27,2025-09-05
3820,13,66,2025-10-15
354,15,43,2025-03-26
1422,7,42,2025-05-24
2983,5,15,2025-03-25
1571,5,75,2025-02-07
4255,10,35,2025-10-13
1613,19,34,2025-09-28
340,15,82,2025-03-04
4996,8,81,2025-01-08
614,4,15,2025-02-08
138,13,94,2025-12-03
1432,15,7,2025-10-08
4898,5,66,2025-05-20
